wordpress-6.3.1

== Plugins ==
+---------------------------------------------------+-------------+-------------+---------+
| name                                              | old_version | new_version | status  |
+---------------------------------------------------+-------------+-------------+---------+
| acf-openstreetmap-field                           | 1.4.3       | 1.5.0       | Updated |
| acf-views                                         | 1.9.9       | 2.1.1       | Updated |
| ad-inserter                                       | 2.7.30      | 2.7.31      | Updated |
| admin-menu-editor                                 | 1.11.1      | 1.11.2      | Updated |
| admin-site-enhancements                           | 5.7.0       | 5.7.1       | Updated |
| advanced-access-manager                           | 6.9.14      | 6.9.16      | Updated |
| advanced-custom-fields                            | 6.2.0       | 6.2.1       | Updated |
| advanced-responsive-video-embedder                | 9.10.9      | 9.10.12     | Updated |
| advanced-sidebar-menu                             | 9.0.11      | 9.1.0       | Updated |
| ai-engine                                         | 1.9.2       | 1.9.84      | Updated |
| akismet                                           | 5.2         | 5.3         | Updated |
| all-in-one-seo-pack                               | 4.4.5.1     | 4.4.7       | Updated |
| antispam-bee                                      | 2.11.3      | 2.11.5      | Updated |
| astra-sites                                       | 3.4.0       | 3.4.3       | Updated |
| automatorwp                                       | 2.7.7       | 3.0.0       | Updated 
| backup-backup                                     | 1.2.9       | 1.3.2       | Updated |
| better-search-replace                             | 1.4.2       | 1.4.3       | Updated |
| calculated-fields-form                            | 1.2.24      | 1.2.28      | Updated |
| click-to-chat-for-whatsapp                        | 3.29.4      | 3.30        | Updated |
| code-block-pro                                    | 1.23.0      | 1.24.0      | Updated |
| code-snippets                                     | 3.4.2       | 3.5.0       | Updated |
| coming-soon                                       | 6.15.13.1   | 6.15.15.3   | Updated |
| complianz-gdpr                                    | 6.5.3       | 6.5.4       | Updated |
| contact-form-7                                    | 5.8         | 5.8.1       | Updated |
| cookie-law-info                                   | 3.1.3       | 3.1.4       | Updated |
| creame-whatsapp-me                                | 5.0.8       | 5.0.19      | Updated |
| customer-reviews-woocommerce                      | 5.33.0      | 5.36.0      | Updated |
| duplicator                                        | 1.5.5.1     | 1.5.6       | Updated |
| elementor                                         | 3.15.3      | 3.16.4      | Updated |
| embedpress                                        | 3.8.4       | 3.8.5       | Updated |
| essential-addons-for-elementor-lite               | 5.8.7       | 5.8.9       | Updated |
| estatik                                           | 4.0.7       | 4.1.0       | Updated |
| ewww-image-optimizer                              | 7.2.0       | 7.2.1       | Updated |
| feeds-for-youtube                                 | 2.1         | 2.1.3       | Updated |
| fg-drupal-to-wp                                   | 3.61.0      | 3.63.1      | Updated |
| file-manager-advanced                             | 5.1.1       | 5.1.2       | Updated |
